,B Cells,Blood Cells,CM1,CM2,CM3,CM4,CM5,EC,EPI,EndoEC,FB,Glial,Macrophage,Pericyte/SMC,T cells
0610009B22Rik,0.02203953,0.010500842,0.07644128,0.1573061,0.098662466,0.2180751,0.06579519,0.06744597,0.3588502,0.1155847,0.130257,0.054322667,0.080545396,0.061698075,0.07476856
0610009L18Rik,0.015439228,0.018510893,0.06451661,0.103183895,0.05292748,0.06602563,0.06801518,0.0129466355,0.040855274,0.021573924,0.031604234,0.08610316,0.021541473,0.029812152,0.026555685
0610010F05Rik,0.04283073,0.022781817,0.019803142,0.24510573,0.043468792,0.0057955757,0.10515516,0.06888392,0.20070173,0.13416089,0.08774556,0.067742296,0.076540396,0.055035822,0.085456885
0610010K14Rik,0.012308726,0.008610396,0.00020459843,0.0034100702,0.0017422135,0.0011550079,0.0017720916,0.042431694,0.032542787,0.008405921,0.013102205,0.048632983,0.0015228529,0.0014463044,0.014653012
0610012G03Rik,0.13688073,0.12353318,0.4947387,0.7433855,0.6115087,1.485,0.41068003,0.49623317,1.1041869,0.5951262,0.6194451,0.2427819,0.7094883,0.2858255,0.37978292
0610030E20Rik,0.055481944,0.012122032,0.02373659,0.09539375,0.065933794,0.009035009,0.09852174,0.044007573,0.18935823,0.053443108,0.099642515,0.08644914,0.07938367,0.06019371,0.05064964
1010001N08Rik,0.0065506618,0.009562873,0.11092089,0.15192993,0.16606857,0.0062791193,0.046865955,0.011525223,0.10938632,0.03406333,0.025742322,0.021383636,0.0023001619,0.0057335547,0.016422013
1110002E22Rik,0.006467129,0.003123359,0.19302483,0.3682726,0.26633754,0.9065924,1.1029878,0.0024147744,0.00814691,0.005658735,0.003920103,0.025592536,0.0020768724,0.0021729986,0.0061610597
1110004F10Rik,0.07177577,0.013400301,0.27420983,0.36901358,0.3618389,0.6676244,0.3084834,0.27615315,1.3520966,0.53808004,0.61375594,0.2059896,0.41459498,0.24152745,0.3720452
1110008P14Rik,0.021160213,0.018679395,0.09289559,0.077383764,0.14075273,0.43518794,0.09862994,0.062950954,0.5623291,0.10922845,0.19823945,0.16754809,0.19033779,0.059641168,0.06790676
1110012L19Rik,0.024468433,0.009511065,0.012987688,0.008237502,0.021613507,0.07949226,0.018324003,0.026174575,0.21649855,0.064775296,0.058289785,0.04337868,0.035047486,0.021761836,0.04395067
1110019D14Rik,0.0073193912,0.0041706744,0.13854416,0.1864542,0.18732177,0.004002113,0.1373334,0.010852735,0.06790694,0.018322911,0.021555005,0.02654215,0.030468117,0.007185684,0.005971374
1110032A03Rik,0.02721726,0.01645163,0.01745812,0.050648108,0.0319947,0.036476288,0.017989691,0.03484901,0.11988763,0.06726799,0.066153005,0.15892409,0.04954254,0.034114156,0.05452237
1110032F04Rik,0.007548651,0.0061312355,0.00085303053,0.008252207,0.0031762242,0.00713739,0.0039085634,0.0013125872,0.028476248,0.24569657,0.026725544,0.034037206,0.00092865987,0.0019050257,0.00644495
1110038F14Rik,0.070817724,0.062227212,0.07509695,0.124576084,0.082228646,0.1170655,0.12531623,0.18172039,0.40139857,0.1955032,0.22621346,0.15078852,0.11254618,0.11991316,0.14168374
1110051M20Rik,0.02411662,0.0063073025,0.018248452,0.074705034,0.08518609,0.0027107748,0.047759388,0.018034175,0.22388294,0.07837142,0.08881752,0.044693697,0.037539802,0.028984565,0.058417317
1110059E24Rik,0.18531534,0.066182524,0.10669987,0.3414616,0.16152579,0.043772478,0.12611,0.18212642,0.43334672,0.27261698,0.25051942,0.08339204,0.15266788,0.18728279,0.16606216
1110059G10Rik,0.025958184,0.010166905,0.04699371,0.080951855,0.07182809,0.16321361,0.048347186,0.08351279,0.26238862,0.11048572,0.09174339,0.066765696,0.08168474,0.05335774,0.02970777
1110065P20Rik,0.011659598,0.009455521,0.07522385,0.09119613,0.09718225,0.30390128,0.079657726,0.057283256,0.80187774,0.16440257,0.37383795,0.27662465,0.11604662,0.11249459,0.087637804
1300002E11Rik,0.017029887,0.016090846,0.0345855,0.04322176,0.0324253,0.0680498,0.019839508,0.0663362,0.09202853,0.08905107,0.06885566,0.12341774,0.027504398,0.055131204,0.026952658
1500009L16Rik,0.024951445,0.011477638,0.11275819,0.21305034,0.14056647,0.26287305,0.19566521,0.028981091,0.11612688,0.052905034,0.43135667,0.20152475,0.055019405,0.19577636,0.11609769
1500011B03Rik,0.01858201,0.015093791,0.008697568,0.022622736,0.00840023,0.016910361,0.0060214605,0.029127354,0.13434926,0.081165925,0.034192998,0.025173988,0.044344485,0.031031942,0.12289763
1500015A07Rik,0.15154068,0.01941229,0.040685747,0.0909165,0.05698225,0.017296512,0.06351351,0.028183028,0.10708067,0.048297822,0.078717306,0.035585053,0.08162422,0.040140107,0.12507904
1600002K03Rik,0.036761418,0.014131016,0.07946696,0.113701135,0.100964285,0.019478183,0.087104104,0.031166848,0.19534315,0.07205149,0.075053096,0.022939911,0.096956335,0.023271484,0.075129256
1600010M07Rik,0.032216005,0.010195718,0.025751416,0.9395643,0.15999852,0.002434835,0.2858588,0.002867812,0.020546015,0.005031266,0.005695621,0.020664003,0.096661314,0.0032587687,0.01612195
